agents,features,traits,regions,usediter,non_zero_edges
225,6,2,1,87750,0
225,6,2,1,119984,0
225,6,2,1,154719,0
225,6,6,1,190662,0
225,6,6,1,175364,0
225,6,6,1,239372,0
225,6,6,1,243871,0
225,6,6,1,185214,0
225,6,10,1,176147,0
225,6,10,1,241992,0
225,6,10,1,260474,0
225,6,10,1,280517,0
225,6,10,1,283865,0
225,6,14,1,223109,0
225,6,14,1,286453,0
225,6,14,1,215522,0
225,6,14,1,298243,0
225,6,14,1,238500,0
225,6,18,2,215937,0
225,6,18,1,243878,0
225,6,18,1,289691,0
225,6,18,1,257430,0
225,6,18,2,246573,0
225,10,2,1,152922,0
225,10,2,1,217401,0
225,10,2,1,196222,0
225,10,2,1,200998,0
225,10,2,1,104347,0
225,10,6,1,386594,0
225,10,6,1,432559,0
225,10,6,1,298280,0
225,10,6,1,413931,0
225,10,6,1,289840,0
225,10,10,1,472115,0
225,10,10,1,335968,0
225,10,10,1,311659,0
225,10,10,1,444830,0
225,10,10,1,414091,0
225,10,14,1,411510,0
225,10,14,1,500000,1194
225,10,14,1,321911,0
225,10,14,1,284263,0
225,10,14,1,362762,0
225,10,18,1,439659,0
225,10,18,1,359855,0
225,10,18,1,451006,0
225,10,18,1,319316,0
225,10,18,1,421800,0
